HD,NaH,MgH,AlH,SiH,CaH,ScIIH,TiH,VH,CrH,MnH,FeH,CoH,NiH
80606,0.45,0.40,0.39,0.34,0.28,0.36,0.36,0.41,0.34,0.42,0.35,0.44,0.40
80607,0.46,0.47,0.37,0.34,0.31,0.39,0.42,0.45,0.39,0.39,0.35,0.46,0.43
