hostname,pl_letter,discoverymethod,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_radj,pl_radjerr1,pl_radjerr2,sy_dist,st_mass,st_masserr1,st_masserr2,st_rad,st_raderr1,st_raderr2,hd_name,hip_name
"Kepler-982","b","Transit",15.77378000,0.00012000,-0.00012000,0.124000,,,0.000000,,,85.370,,,,,,,,,801.4790000,1.01,,,1.04,,,,
"Kepler-908","b","Transit",1.34059747,0.00000195,-0.00000195,0.024800,,,0.000000,,,89.380,,,,,,,,,290.8430000,1.13,0.07,-0.10,1.02,0.20,-0.05,,
"Kepler-488","b","Transit",3.12082923,0.00000038,-0.00000038,0.042800,,,0.000000,,,84.800,,,,,,,,,1145.2800000,1.07,0.18,-0.13,1.00,0.37,-0.09,,
"Kepler-1520","b","Transit",0.65355357,0.00000016,-0.00000016,0.012900,,,0.000000,,,66.460,,,,,,,,,607.9170000,0.67,0.07,-0.06,0.66,0.06,-0.06,,
"Kepler-411","c","Transit",7.83443368,0.00000296,-0.00000296,0.071400,,,0.000000,,,87.410,,,,,,,,,153.6760000,0.82,0.03,-0.06,0.72,0.06,-0.02,,
"Kepler-104","d","Transit",51.75627000,0.00036000,-0.00036000,0.253000,,,0.000000,,,89.380,,,,,,,,,400.7850000,0.81,0.04,-0.04,0.93,0.29,-0.29,,
"WASP-52","b","Transit",1.74977980,,,,,,0.000000,,,85.060,0.270,-0.270,,,,,,,174.8180000,0.85,0.12,-0.09,0.86,0.04,-0.07,,
"Kepler-1541","b","Transit",8.40693068,0.00009705,-0.00009705,0.078100,,,0.000000,,,89.970,,,,,,,,,416.6920000,0.90,0.08,-0.10,1.53,0.57,-0.70,,
"Kepler-51","b","Transit",45.15500000,,,,,,,,,,,,0.00724,0.00535,-0.00503,0.767,0.152,-0.134,783.8310000,1.10,0.10,-0.10,,,,,
"Kepler-190","c","Transit",3.76304153,0.00000601,-0.00000601,,,,,,,,,,,,,,,,433.3870000,0.85,,,0.77,,,,
"Kepler-1550","b","Transit",225.58280900,0.00384600,-0.00384600,0.733300,,,0.000000,,,89.950,,,,,,,,,1179.0100000,1.03,0.16,-0.13,0.96,0.40,-0.09,,
"Kepler-1093","c","Transit",89.72229200,0.00108000,-0.00108000,0.394000,,,0.000000,,,89.380,,,,,,,,,1072.8800000,1.01,0.19,-0.12,1.26,0.53,-0.24,,
"HAT-P-16","b","Transit",2.77597040,0.00000070,-0.00000070,,,,0.040000,0.003000,-0.003000,88.030,1.000,-0.740,,,,,,,226.6370000,,,,,,,,
"K2-5","c","Transit",10.93241000,0.00134000,-0.00134000,0.081800,0.005900,-0.005900,,,,86.950,2.470,-2.470,,,,0.202,0.055,-0.055,202.9430000,0.61,0.13,-0.13,0.57,0.12,-0.12,,
"EPIC 206215704","b","Transit",2.25372000,0.00047000,-0.00047000,,,,,,,,,,,,,0.080,0.017,-0.018,109.8880000,0.41,0.10,-0.08,,,,,
"OGLE-2018-BLG-1269L","b","Microlensing",,,,4.510000,1.660000,-1.150000,,,,,,,0.67000,0.41000,-0.21000,,,,2510.0000000,1.11,0.68,-0.34,,,,,
"Kepler-238","d","Transit",13.23352214,0.00004503,-0.00004503,0.112600,,,0.000000,,,89.950,,,,,,,,,1798.7500000,1.08,0.10,-0.07,1.38,0.24,-0.27,,
"Kepler-231","c","Transit",19.27100000,,,,,,,,,,,,0.07600,0.04200,-0.03500,0.190,0.034,-0.034,316.6180000,0.65,,,0.61,,,,
"Kepler-82","b","Transit",26.44439337,0.00003650,-0.00003650,0.168700,,,0.000000,,,89.970,,,,,,,,,904.3260000,0.92,0.05,-0.05,0.93,0.10,-0.07,,
"Kepler-25","b","Transit",6.23853477,0.00000212,-0.00000212,0.070300,,,0.000000,,,89.950,,,,,,,,,243.2490000,1.19,0.06,-0.06,1.31,0.02,-0.02,,
"Kepler-37","e","Transit Timing Variations",51.20690303,,,,,,,,,,,,,,,,,,63.9207000,0.94,0.15,-0.09,0.79,0.05,-0.03,,
"Kepler-402","d","Transit",8.92116020,0.00003972,-0.00003972,0.087900,,,0.000000,,,89.950,,,,,,,,,625.3390000,1.14,0.27,-0.15,1.22,0.68,-0.17,,
"Kepler-1274","b","Transit",6.98152703,0.00006708,-0.00006708,0.079900,,,0.000000,,,88.810,,,,,,,,,614.6480000,1.42,0.09,-0.09,2.13,0.13,-0.13,,
"Kepler-174","b","Transit",13.98177228,0.00001386,-0.00001386,0.095000,,,0.000000,,,89.950,,,,,,,,,384.7570000,0.58,0.03,-0.02,0.59,0.03,-0.03,,
"Kepler-37","d","Transit",39.79223792,0.00002223,-0.00002223,0.212100,,,0.000000,,,89.950,,,,,,,,,63.9207000,0.80,0.07,-0.07,0.77,0.03,-0.03,,
"Kepler-1531","b","Transit",1.13854338,0.00000259,-0.00000259,0.021700,,,0.000000,,,87.090,,,,,,,,,666.3340000,1.05,0.21,-0.13,1.53,0.67,-0.42,,
"Kepler-1542","e","Transit",5.10115756,0.00002409,-0.00002409,0.055300,,,0.000000,,,89.950,,,,,,,,,399.1140000,0.87,0.14,-0.06,1.19,0.41,-0.28,,
"Kepler-355","c","Transit",25.76268460,0.00013760,-0.00013760,,,,,,,,,,,,,,,,1432.1700000,1.04,,,1.25,,,,
"Kepler-357","d","Transit",49.50047250,0.00033990,-0.00033990,,,,,,,,,,,,,,,,688.5730000,0.79,,,0.74,,,,
"Kepler-1582","b","Transit",4.83809469,0.00008797,-0.00008797,,,,,,,,,,,,,,,,78.8906000,0.18,0.02,-0.02,0.21,0.01,-0.01,,
"Kepler-1198","b","Transit",7.68478504,0.00003077,-0.00003077,,,,,,,,,,,,,,,,743.0300000,0.94,,,0.88,,,,
"Kepler-886","b","Transit",6.24151500,0.00007400,-0.00007400,0.070000,,,0.000000,,,81.360,,,,,,,,,711.2970000,1.15,0.12,-0.12,1.10,0.47,-0.47,,
"Kepler-273","c","Transit",8.01500821,0.00003259,-0.00003259,0.074800,,,0.000000,,,87.690,,,,,,,,,713.9640000,0.87,0.07,-0.03,1.00,0.11,-0.14,,
"OGLE-2015-BLG-0966L","b","Microlensing",,,,2.100000,,,,,,,,,0.06600,0.00600,-0.00600,,,,2500.0000000,0.38,0.04,-0.04,,,,,
"OGLE-2013-BLG-0102L","b","Microlensing",,,,0.800000,0.080000,-0.080000,,,,,,,13.00000,2.00000,-2.00000,,,,3040.0000000,0.10,0.01,-0.01,,,,,
"Kepler-1690","b","Transit",234.63565200,0.00138400,-0.00138400,0.709700,,,0.000000,,,89.990,,,,,,,,,703.7890000,0.87,0.06,-0.04,0.89,0.09,-0.07,,
"Kepler-1366","b","Transit",2.16457059,0.00000642,-0.00000642,0.027300,,,0.000000,,,88.440,,,,,,,,,465.8260000,0.58,0.03,-0.04,0.55,0.03,-0.03,,
"Kepler-841","b","Transit",124.41971750,0.00034910,-0.00034910,,,,,,,,,,,,,,,,998.9610000,0.88,,,0.82,,,,
"Kepler-849","b","Transit",394.62495140,0.00081710,-0.00081710,,,,,,,,,,,,,,,,822.1340000,1.10,0.13,-0.15,1.86,0.10,-0.11,,
"Kepler-862","b","Transit",3.14866155,0.00000830,-0.00000830,,,,,,,,,,,,,,,,1039.0300000,0.84,,,1.17,,,,
"Kepler-320","b","Transit",8.37159554,0.00007493,-0.00007493,0.085400,,,0.000000,,,71.530,,,,,,,,,826.6130000,1.18,0.21,-0.16,1.77,0.41,-0.50,,
"Kepler-673","b","Transit",3.72873250,0.00000320,-0.00000320,0.045000,,,0.000000,,,89.950,,,,,,,,,918.2100000,0.90,0.08,-0.08,0.79,0.41,-0.41,,
"Kepler-276","b","Transit",14.12846178,0.00007169,-0.00007169,0.118100,,,0.000000,,,89.380,,,,,,,,,1144.8600000,1.10,0.22,-0.14,1.03,0.45,-0.10,,
"Kepler-137","c","Transit",18.73575579,0.00002230,-0.00002230,0.133700,,,0.000000,,,88.810,,,,,,,,,302.9790000,0.91,0.04,-0.07,0.81,0.11,-0.03,,
"Kepler-326","c","Transit",4.58000000,,,,,,,,,,,,0.05500,0.04800,-0.03400,0.249,0.175,-0.117,487.6750000,0.93,,,1.59,,,,
"Kepler-351","c","Transit",57.24800000,,,,,,,,,,,,0.03500,0.03100,-0.02400,0.282,0.123,-0.022,1083.9100000,0.91,,,0.84,,,,
"Kepler-1291","b","Transit",8.63043276,0.00006731,-0.00006731,0.077800,,,0.000000,,,88.240,,,,,,,,,897.3520000,0.85,0.09,-0.10,0.77,0.22,-0.06,,
"Kepler-1391","b","Transit",54.40996120,0.00055480,-0.00055480,,,,,,,,,,,,,,,,1038.3500000,0.98,,,1.78,,,,
"OGLE-2018-BLG-0740L","b","Microlensing",,,,1.500000,0.200000,-0.200000,,,,,,,1.10000,0.70000,-0.60000,,,,7200.0000000,0.47,0.31,-0.24,,,,,
"Kepler-80","d","Transit",3.07214661,0.00000351,-0.00000351,,,,,,,,,,,,,,,,369.4510000,0.73,,,0.66,,,,
"Kepler-262","b","Transit",13.06076688,0.00009209,-0.00009209,0.107500,,,0.000000,,,88.240,,,,,,,,,613.1290000,0.97,0.10,-0.11,0.88,0.33,-0.07,,
"Kepler-32","e","Transit",2.89601379,0.00000422,-0.00000422,0.032000,,,0.000000,,,89.950,,,,,,,,,323.8470000,0.52,0.07,-0.07,0.50,0.06,-0.06,,
"Kepler-759","b","Transit",41.80598500,0.00020820,-0.00020820,0.232900,,,0.000000,,,89.950,,,,,,,,,1073.4800000,0.96,0.13,-0.11,0.97,0.37,-0.11,,
"Kepler-1033","b","Transit",7.56052806,0.00002405,-0.00002405,0.076100,,,0.000000,,,88.810,,,,,,,,,1455.5000000,1.03,0.14,-0.13,0.94,0.38,-0.08,,
"Kepler-347","b","Transit",12.79830440,0.00006253,-0.00006253,0.109700,,,0.000000,,,85.940,,,,,,,,,1298.8800000,1.07,0.18,-0.14,1.00,0.39,-0.09,,
"Kepler-1312","b","Transit",5.44832108,0.00000762,-0.00000762,0.060300,,,0.000000,,,87.710,,,,,,,,,299.1040000,0.98,0.06,-0.07,0.91,0.13,-0.04,,
"OGLE-2016-BLG-0613L AB","b","Microlensing",,,,3.280000,1.200000,-1.390000,,,,,,,3.01000,2.32000,-1.71000,,,,3560.0000000,0.65,0.50,-0.37,,,,,
"Kepler-1324","b","Transit",4.11585514,0.00001160,-0.00001160,0.046600,,,0.000000,,,86.520,,,,,,,,,481.6670000,0.80,0.05,-0.05,0.82,0.06,-0.09,,
"Kepler-657","b","Transit",24.54350418,0.00006435,-0.00006435,0.165400,,,0.000000,,,89.950,,,,,,,,,1691.8800000,1.00,0.11,-0.12,0.91,0.34,-0.07,,
"Kepler-1232","b","Transit",26.78389350,0.00015820,-0.00015820,,,,,,,,,,,,,,,,632.8650000,0.90,,,0.80,,,,
"Kepler-1255","b","Transit",36.29201700,0.00034430,-0.00034430,,,,,,,,,,,,,,,,1617.0700000,1.08,,,1.35,,,,
"Kepler-559","b","Transit",17.58752333,0.00002056,-0.00002056,0.129900,,,0.000000,,,89.380,,,,,,,,,776.7080000,0.94,0.11,-0.07,1.10,0.39,-0.18,,
"Kepler-1641","c","Transit",32.65721200,0.00309900,-0.00309900,0.206500,,,0.000000,,,89.380,,,,,,,,,860.3700000,1.10,0.27,-0.15,1.49,0.73,-0.38,,
"Kepler-1582","b","Transit",4.83817712,0.00008840,-0.00008840,0.028500,,,0.000000,,,89.380,,,,,,,,,78.8906000,0.13,0.00,0.00,0.16,0.00,0.00,,
"Kepler-1527","b","Transit",160.13089900,0.00172000,-0.00172000,,,,,,,,,,,,,,,,1842.1300000,1.08,,,1.66,,,,
"Kepler-1699","b","Transit",3.49078834,0.00001372,-0.00001372,0.041700,,,0.000000,,,88.810,,,,,,,,,818.7590000,0.79,0.10,-0.08,0.72,0.18,-0.05,,
"Kepler-403","c","Transit",54.28120310,0.00041990,-0.00041990,0.290000,,,0.000000,,,89.380,,,,,,,,,840.2690000,1.10,0.07,-0.08,1.11,0.20,-0.09,,
"Kepler-1393","b","Transit",2.44357812,0.00001231,-0.00001231,0.034400,,,0.000000,,,85.940,,,,,,,,,544.4560000,0.91,0.10,-0.10,0.82,0.29,-0.06,,
"HATS-31","b","Transit",3.37796000,0.00001200,-0.00001200,0.047800,0.001200,-0.001200,0.233000,,,85.000,2.500,-1.600,0.88000,0.12000,-0.12000,1.640,0.220,-0.220,773.9740000,1.27,0.10,-0.10,1.87,0.18,-0.18,,
"EPIC 220674823","b","Transit",0.57133100,0.00002000,-0.00002100,0.013400,0.000200,-0.000200,,,,,,,,,,0.162,0.009,-0.009,244.5900000,0.97,0.04,-0.04,0.98,0.02,-0.02,,
"Kepler-307","c","Transit",13.08400000,,,,,,,,,,,,0.00600,0.00500,-0.00300,0.251,0.094,-0.037,575.5810000,0.98,,,1.08,,,,
"Kepler-326","b","Transit",2.24800000,,,,,,,,,,,,0.14000,0.15000,-0.10500,0.270,0.190,-0.127,487.6750000,0.93,,,1.59,,,,
"Kepler-136","c","Transit",16.39900000,,,,,,,,,,,,,,,,,,420.8180000,1.17,,,1.19,,,,
"Kepler-53","c","Transit",38.55800000,,,,,,,,,,,,0.11200,0.06000,-0.04700,0.278,0.107,-0.026,1366.0700000,1.02,,,0.94,,,,
"Kepler-56","c","Transit",21.40500000,,,,,,,,,,,,0.43294,0.13875,-0.00094,0.946,0.125,-0.116,912.9940000,1.40,0.20,-0.30,,,,,
"Kepler-114","c","Transit",8.04100000,,,,,,,,,,,,0.00900,0.00200,-0.00200,0.143,0.016,-0.016,259.5330000,0.56,0.06,-0.06,0.54,0.06,-0.06,,
"Kepler-307","c","Transit",13.08424286,0.00002609,-0.00002609,,,,,,,,,,,,,,,,575.5810000,0.97,,,0.95,,,,
"Kepler-904","b","Transit",3.02168007,0.00000851,-0.00000851,,,,,,,,,,,,,,,,978.1250000,1.10,,,1.11,,,,
"Kepler-729","b","Transit",3.16635356,0.00000253,-0.00000253,0.043200,,,0.000000,,,89.760,,,,,,,,,1921.1500000,1.07,0.13,-0.14,1.00,0.32,-0.11,,
"Kepler-1518","b","Transit",5.11177904,0.00005083,-0.00005083,0.059300,,,0.000000,,,89.380,,,,,,,,,903.5100000,1.06,0.25,-0.12,1.34,0.66,-0.29,,
"Kepler-298","d","Transit",77.47407240,0.00035280,-0.00035280,0.311000,,,0.000000,,,89.380,,,,,,,,,518.2040000,0.67,0.07,-0.06,0.65,0.07,-0.06,,
"Kepler-853","b","Transit",7.16892463,0.00002302,-0.00002302,0.077700,,,0.000000,,,86.520,,,,,,,,,568.6760000,1.21,0.10,-0.15,1.14,0.33,-0.07,,
"KIC 9663113","c","Transit",20.74028645,0.00002965,-0.00002965,0.154000,,,0.000000,,,88.270,,,,,,,,,1594.7400000,1.13,0.11,-0.08,1.30,0.23,-0.17,,
"Kepler-883","b","Transit",12.98494603,0.00003249,-0.00003249,0.105500,,,0.000000,,,89.910,,,,,,,,,627.4550000,0.93,0.06,-0.07,1.02,0.15,-0.12,,
"Kepler-897","b","Transit",8.04727721,0.00002890,-0.00002890,0.077000,,,0.000000,,,79.300,,,,,,,,,1519.2500000,0.94,0.11,-0.11,0.85,0.24,-0.08,,
"Kepler-475","b","Transit",3.10550819,0.00000104,-0.00000104,0.038700,,,0.000000,,,86.520,,,,,,,,,280.0690000,0.80,0.05,-0.03,0.84,0.04,-0.06,,
"Kepler-37","e","Transit Timing Variations",51.19600000,,,,,,,,,,,,,,,,,,63.9207000,0.80,,,0.77,,,,
"KOI-142","b","Transit",10.91610834,0.00000487,-0.00000487,,,,,,,,,,,,,,,,376.8630000,0.93,0.13,-0.11,0.96,0.06,-0.06,,
"WASP-47","d","Transit",9.03077000,0.00017000,-0.00017000,,,,0.014000,,,89.320,0.230,-0.230,0.04122,0.00472,-0.00472,0.319,0.004,-0.004,264.7800000,1.04,0.03,-0.03,1.14,0.01,-0.01,,
"HAT-P-11","b","Transit",4.88782000,0.00000700,-0.00000700,,,,0.200000,0.050000,-0.050000,88.500,0.600,-0.600,0.09000,0.01000,-0.01000,0.430,0.020,-0.020,37.7647000,0.88,0.14,-0.14,0.77,0.03,-0.03,,"HIP 97657"
"Kepler-6","b","Transit",3.23469928,0.00000012,-0.00000012,0.043500,,,0.000000,,,89.400,,,,,,,,,587.0390000,1.05,0.09,-0.06,1.29,0.10,-0.10,,
"Kepler-48","d","Transit",42.89605505,0.00009646,-0.00009646,0.236500,,,0.000000,,,89.950,,,,,,,,,306.7380000,0.95,0.03,-0.07,0.85,0.10,-0.03,,
"HAT-P-50","b","Transit",3.12201090,0.00000650,-0.00000650,0.045300,0.000580,-0.001400,0.115000,,,83.650,0.570,-0.570,1.35000,0.07300,-0.07300,1.288,0.064,-0.064,515.4580000,1.27,0.05,-0.12,1.70,0.07,-0.07,,
"OGLE-2017-BLG-1434L","b","Microlensing",,,,1.180000,0.100000,-0.100000,,,,,,,0.01400,0.00200,-0.00200,,,,860.0000000,0.23,0.03,-0.03,,,,,
"Kepler-1388","e","Transit",37.63270840,0.00072690,-0.00072690,0.179300,,,0.000000,,,89.950,,,,,,,,,453.7950000,0.54,0.07,-0.05,0.52,0.07,-0.05,,
"Kepler-1434","b","Transit",8.05333618,0.00008907,-0.00008907,0.080300,,,0.000000,,,88.810,,,,,,,,,775.5290000,1.06,0.27,-0.13,1.44,0.71,-0.36,,
"Kepler-1450","b","Transit",54.50941660,0.00052700,-0.00052700,0.239200,,,0.000000,,,89.950,,,,,,,,,505.8290000,0.61,0.06,-0.05,0.61,0.06,-0.06,,
"Kepler-696","b","Transit",4.19042557,0.00000160,-0.00000160,0.053500,,,0.000000,,,88.810,,,,,,,,,1416.4400000,1.16,0.26,-0.17,1.20,0.73,-0.17,,
"Kepler-290","b","Transit",14.58932462,0.00004110,-0.00004110,0.110300,,,0.000000,,,89.950,,,,,,,,,694.6270000,0.85,0.07,-0.10,0.76,0.14,-0.06,,
"KMT-2018-BLG-1990L","b","Microlensing",,,,0.657000,0.097000,-0.075000,,,,,,,0.31800,0.07700,-0.05800,,,,674.0000000,0.07,0.02,-0.01,,,,,
"Kepler-1102","b","Transit",51.32835270,0.00030260,-0.00030260,,,,,,,,,,,,,,,,1246.0500000,1.05,,,1.16,,,,
"Kepler-104","b","Transit",11.42755098,0.00000815,-0.00000815,0.096400,,,0.000000,,,87.760,,,,,,,,,400.7850000,0.91,0.06,-0.06,1.00,0.14,-0.11,,
"Kepler-158","c","Transit",28.55158187,0.00008917,-0.00008917,,,,,,,,,,,,,,,,315.1770000,0.73,,,0.65,,,,
"Kepler-1597","b","Transit",2.94654179,0.00003471,-0.00003471,0.042700,,,0.000000,,,87.090,,,,,,,,,1221.0500000,1.20,0.24,-0.18,1.17,0.56,-0.14,,
"Kepler-947","b","Transit",26.96443170,0.00015700,-0.00015700,0.177300,,,0.000000,,,89.380,,,,,,,,,1730.7800000,1.02,0.10,-0.12,0.91,0.30,-0.07,,
"Kepler-148","c","Transit",4.18004955,0.00000249,-0.00000249,0.049000,,,0.000000,,,89.380,,,,,,,,,791.1630000,0.89,0.07,-0.07,0.84,0.25,-0.06,,
"Kepler-214","c","Transit",28.77958130,0.00018490,-0.00018490,0.186400,,,0.000000,,,85.940,,,,,,,,,1208.4400000,1.04,0.17,-0.13,0.98,0.41,-0.09,,
"Kepler-20","d","Transit",77.61130017,0.00012305,-0.00011588,0.350600,0.008100,-0.010100,,,,89.708,0.165,-0.053,0.03168,0.01249,-0.01164,0.245,0.007,-0.005,282.5630000,0.95,0.05,-0.05,0.96,0.02,-0.02,,
"OGLE-2012-BLG-0358L","b","Microlensing",,,,0.890000,0.030000,-0.030000,,,,,,,1.89000,0.19000,-0.19000,,,,1790.0000000,0.02,0.00,-0.00,,,,,
"MOA-2009-BLG-266L","b","Microlensing",,,,3.200000,1.900000,-0.500000,,,,,,,0.03270,0.00530,-0.00530,,,,3040.0000000,0.56,0.09,-0.09,,,,,
"OGLE-2006-BLG-109L","b","Microlensing",1788.50000000,584.00000000,-547.50000000,2.300000,0.500000,-0.500000,,,,,,,0.72700,0.06000,-0.06000,,,,1510.0000000,0.51,0.05,-0.04,,,,,
"OGLE-2015-BLG-0966L","b","Microlensing",,,,2.100000,,,,,,,,,0.06600,0.00600,-0.00600,,,,2500.0000000,0.38,0.04,-0.04,,,,,
"Kepler-104","c","Transit",23.66800000,,,,,,,,,,,,,,,,,,400.7850000,0.81,,,1.36,,,,
"KMT-2016-BLG-1820L","b","Microlensing",,,,1.080000,0.220000,-0.220000,,,,,,,4.57000,5.03000,-2.14000,,,,6260.0000000,0.04,0.04,-0.02,,,,,
"Kepler-564","b","Transit",3.75083228,0.00000122,-0.00000122,0.048400,,,0.000000,,,89.380,,,,,,,,,863.0370000,1.07,0.16,-0.14,0.95,0.37,-0.08,,
"Kepler-1151","b","Transit",65.64784240,0.00040100,-0.00040100,0.300700,,,0.000000,,,89.950,,,,,,,,,682.4360000,0.84,0.13,-0.06,0.96,0.37,-0.14,,
"Kepler-26","e","Transit",46.82771400,0.00010210,-0.00010210,0.208500,,,0.000000,,,89.950,,,,,,,,,335.3070000,0.55,0.08,-0.08,0.53,0.08,-0.08,,
"Kepler-1186","b","Transit",16.07677615,0.00007199,-0.00007199,0.128100,,,0.000000,,,89.950,,,,,,,,,1337.2500000,1.08,0.18,-0.14,0.97,0.40,-0.08,,
"Kepler-77","b","Transit",3.57878055,0.00000016,-0.00000016,0.047200,,,0.000000,,,89.950,,,,,,,,,639.4110000,1.09,0.04,-0.09,0.98,0.13,-0.04,,
"Kepler-867","b","Transit",150.24212700,0.00060470,-0.00060470,0.515400,,,0.000000,,,89.380,,,,,,,,,1195.5400000,0.81,0.10,-0.08,0.74,0.20,-0.05,,
"Kepler-213","c","Transit",4.82296932,0.00000551,-0.00000551,0.057500,,,0.000000,,,87.560,,,,,,,,,634.9390000,1.09,0.05,-0.07,1.01,0.16,-0.06,,
"Kepler-1609","b","Transit",114.33605200,0.00381500,-0.00381500,,,,,,,,,,,,,,,,1826.0400000,1.05,,,1.71,,,,
"Kepler-774","b","Transit",11.08957230,0.00004373,-0.00004373,0.106800,,,0.000000,,,89.950,,,,,,,,,917.8040000,1.32,0.16,-0.16,1.97,0.45,-0.38,,
"Kepler-189","c","Transit",20.13488968,0.00003555,-0.00003555,0.136100,,,0.000000,,,88.810,,,,,,,,,591.5340000,0.84,0.08,-0.09,0.76,0.16,-0.06,,
"Kepler-411","b","Transit",3.00515570,0.00000202,-0.00000202,0.038300,,,0.000000,,,89.950,,,,,,,,,153.6760000,0.83,0.03,-0.06,0.77,0.05,-0.03,,
"Kepler-1276","b","Transit",12.57228970,0.00019500,-0.00019500,,,,,,,,,,,,,,,,538.4810000,1.22,0.19,-0.16,1.10,0.05,-0.05,,
"Kepler-36","c","Transit",16.23192004,0.00001415,-0.00001415,0.128400,,,0.000000,,,86.520,,,,,,,,,527.9560000,1.07,0.04,-0.04,1.63,0.02,-0.02,,
"Kepler-132","d","Transit",18.01017554,0.00004401,-0.00004401,0.130800,,,0.000000,,,89.950,,,,,,,,,349.5490000,0.92,0.08,-0.06,1.04,0.19,-0.12,,
"HIP 41378","b","Transit",15.57209800,0.00001800,-0.00001900,,,,,,,88.800,0.800,-1.400,,,,,,,106.2890000,1.17,0.07,-0.07,1.34,0.03,-0.03,,"HIP 41378"
"Kepler-449","c","Transit",33.67312000,0.00049000,-0.00049000,0.201000,,,0.000000,,,87.660,,,,,,,,,241.9490000,0.95,0.05,-0.05,1.46,0.19,-0.19,,
"Kepler-943","b","Transit",49.77014380,0.00011720,-0.00011720,0.256100,,,0.000000,,,88.810,,,,,,,,,2300.5300000,0.90,0.10,-0.10,0.82,0.32,-0.07,,
"Kepler-323","c","Transit",3.55383111,0.00000450,-0.00000450,,,,,,,,,,,,,,,,454.8830000,1.05,0.16,-0.12,1.16,0.07,-0.08,,
"Kepler-226","c","Transit",5.34955382,0.00000883,-0.00000883,0.056300,,,0.000000,,,89.620,,,,,,,,,980.1380000,0.83,0.06,-0.03,0.91,0.06,-0.09,,
"Kepler-843","b","Transit",2.05389900,0.00001100,-0.00001100,0.032000,,,0.000000,,,75.060,,,,,,,,,1165.6600000,0.99,0.05,-0.05,0.89,0.24,-0.24,,
"MOA-2011-BLG-028L","b","Microlensing",,,,4.140000,0.640000,-0.640000,,,,,,,0.09000,0.05000,-0.04000,,,,7380.0000000,0.75,0.35,-0.30,,,,,
"MOA-2015-BLG-337L","b","Microlensing",,,,0.240000,0.060000,-0.090000,,,,,,,0.10600,0.40600,-0.07300,,,,7100.0000000,0.01,0.04,-0.01,,,,,
"Kepler-11","d","Transit",22.68700000,,,,,,,,,,,,0.02100,0.00900,-0.00800,0.265,0.020,-0.016,646.3460000,0.92,,,1.05,,,,
"OGLE-2008-BLG-092L","b","Microlensing",,,,15.000000,,,,,,,,,0.18000,,,,,,8100.0000000,0.71,,,,,,,
"OGLE-2015-BLG-0954L","b","Microlensing",,,,1.200000,0.600000,-0.600000,,,,,,,3.90000,1.40000,-1.40000,,,,600.0000000,0.33,0.12,-0.12,,,,,
"OGLE-2012-BLG-0950L","b","Microlensing",,,,2.100000,0.200000,-0.300000,,,,,,,0.06600,0.02000,-0.01000,,,,3600.0000000,0.33,0.05,-0.08,,,,,
"Kepler-162","b","Transit",6.91972300,0.00009500,-0.00009500,0.070000,,,0.000000,,,87.660,,,,,,,,,855.6410000,0.95,0.09,-0.09,0.98,0.42,-0.42,,
"Kepler-183","b","Transit",5.68798310,0.00001252,-0.00001252,0.063200,,,0.000000,,,89.380,,,,,,,,,1050.6400000,1.04,0.13,-0.13,0.94,0.36,-0.08,,
"Kepler-1015","b","Transit",16.00490000,0.00014000,-0.00014000,0.135000,,,0.000000,,,84.800,,,,,,,,,739.3570000,1.28,0.17,-0.17,1.34,0.65,-0.65,,
"Kepler-662","b","Transit",21.67699193,0.00007010,-0.00007010,0.140800,,,0.000000,,,87.910,,,,,,,,,815.6370000,0.79,0.05,-0.03,0.83,0.03,-0.07,,
"Kepler-228","d","Transit",11.09431923,0.00002137,-0.00002137,0.099200,,,0.000000,,,89.380,,,,,,,,,1644.6100000,1.05,0.18,-0.14,0.97,0.41,-0.09,,
"Kepler-1070","b","Transit",6.22161470,0.00001944,-0.00001944,0.070800,,,0.000000,,,89.380,,,,,,,,,939.0010000,1.23,0.27,-0.20,1.35,0.75,-0.26,,
"Kepler-384","b","Transit",22.59682560,0.00022420,-0.00022420,,,,,,,,,,,,,,,,895.6780000,0.96,,,1.74,,,,
"MOA-2009-BLG-387L","b","Microlensing",,,,1.800000,0.900000,-0.700000,,,,,,,2.60000,4.10000,-1.60000,,,,5690.0000000,0.19,0.30,-0.12,,,,,
"OGLE-2005-BLG-071L","b","Microlensing",,,,3.600000,0.200000,-0.200000,,,,,,,3.80000,0.30000,-0.40000,,,,3200.0000000,0.46,0.04,-0.04,,,,,
"Kepler-282","e","Transit",44.34700000,,,,,,,,,,,,0.17700,0.05100,-0.05300,0.277,0.112,-0.022,1337.6100000,0.97,0.10,-0.12,0.89,0.36,-0.07,,
"Kepler-396","b","Transit",42.99400000,,,,,,,,,,,,0.23800,0.03700,-0.01800,0.312,0.114,-0.058,223.7570000,0.85,0.13,-0.06,1.06,0.39,-0.20,,
"OGLE-2013-BLG-0911L","b","Microlensing",,,,0.390000,0.050000,-0.030000,,,,,,,9.51000,2.72000,-1.69000,,,,3220.0000000,0.29,0.07,-0.05,,,,,
