hostname,pl_letter,discoverymethod,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_radj,pl_radjerr1,pl_radjerr2,sy_dist,st_mass,st_masserr1,st_masserr2,st_rad,st_raderr1,st_raderr2,hd_name,hip_name
"HD 23127","b","Radial Velocity",1214.00000000,9.00000000,-9.00000000,2.400000,0.300000,-0.300000,0.440000,0.070000,-0.070000,,,,1.50000,0.20000,-0.20000,,,,93.8555000,1.13,0.10,-0.10,,,,"HD 23127","HIP 17054"
"HD 100655","b","Radial Velocity",157.57000000,0.65000000,-0.65000000,0.760000,0.020000,-0.040000,0.085000,0.054000,-0.054000,,,,1.70000,0.10000,-0.20000,,,,137.1780000,2.40,0.20,-0.40,9.30,1.30,-1.10,"HD 100655","HIP 56508"
"kap CrB","b","Radial Velocity",1208.00000000,30.00000000,-30.00000000,2.700000,,,0.146000,0.080000,-0.080000,,,,1.80000,,,,,,30.0651000,1.80,0.11,-0.11,4.71,0.08,-0.08,"HD 142091","HIP 77655"
"CoRoT-19","b","Transit",3.89713000,0.00002000,-0.00002000,0.051800,0.000800,-0.000800,0.047000,0.045000,-0.045000,88.000,0.700,-0.700,1.11000,0.06000,-0.06000,1.290,0.030,-0.030,790.6630000,1.21,0.05,-0.05,1.65,0.04,-0.04,,
"Kepler-24","c","Transit",12.33350000,,,0.106000,,,,,,,,,1.60000,,,0.250,,,1156.8100000,1.03,0.11,-0.14,1.07,0.16,-0.23,,
"GJ 667 C","b","Radial Velocity",7.20066000,0.00067000,-0.00067000,0.049000,,,0.172000,0.043000,-0.043000,,,,0.01789,0.00075,-0.00075,,,,7.2439600,,,,,,,,
"HD 155358","b","Radial Velocity",194.30000000,0.30000000,-0.30000000,0.640000,0.010000,-0.010000,0.170000,0.030000,-0.030000,,,,0.85000,0.05000,-0.05000,,,,43.6197000,0.92,,,,,,"HD 155358","HIP 83949"
"HD 79498","b","Radial Velocity",1966.10000000,41.00000000,-41.00000000,3.130000,0.080000,-0.080000,0.590000,0.020000,-0.020000,,,,1.34000,0.07000,-0.07000,,,,48.9489000,1.06,,,,,,"HD 79498","HIP 45406"
"CHXR 73","b","Imaging",,,,210.000000,,,,,,,,,12.56900,8.37900,-5.23700,,,,190.3740000,0.35,,,,,,,
"HD 13189","b","Radial Velocity",471.60000000,6.00000000,-6.00000000,1.850000,0.350000,-0.350000,0.270000,0.060000,-0.060000,,,,14.00000,6.00000,-6.00000,,,,497.8230000,,,,41.98,,,"HD 13189","HIP 10085"
"GJ 433","b","Radial Velocity",7.37090000,0.00080000,-0.00080000,0.058000,,,0.080000,0.080000,-0.080000,,,,0.01800,,,,,,9.0645600,0.48,,,,,,,"HIP 56528"
"HIP 5158","b","Radial Velocity",345.63000000,1.99000000,-1.99000000,0.890000,0.010000,-0.010000,0.540000,0.040000,-0.040000,,,,1.44000,0.14000,-0.14000,,,,51.6026000,0.78,0.12,-0.07,0.75,0.05,-0.09,,"HIP 5158"
"alf Ari","b","Radial Velocity",380.80000000,0.30000000,-0.30000000,1.200000,,,0.250000,0.030000,-0.030000,,,,1.80000,0.20000,-0.20000,,,,20.2101900,1.50,0.20,,13.90,0.30,,"HD 12929","HIP 9884"
"Kepler-32","b","Transit",5.90124000,0.00010000,-0.00010000,0.050000,,,,,,,,,4.10000,,,0.196,0.018,-0.018,323.8470000,0.58,0.05,-0.05,0.53,0.04,-0.04,,
"tau Gem","b","Radial Velocity",305.00000000,,,,,,,,,,,,18.10000,,,,,,112.5370000,,,,28.72,,,"HD 54719","HIP 34693"
"KELT-1","b","Transit",1.21751400,0.00001500,-0.00001500,0.024660,0.000160,-0.000160,0.009900,0.010000,-0.006900,87.800,1.300,-1.900,27.23000,0.50000,-0.48000,1.110,0.032,-0.022,268.4300000,1.32,0.03,,1.46,0.04,,,
"HD 62509","b","Radial Velocity",589.70000000,3.50000000,-3.50000000,1.690000,0.030000,-0.030000,0.060000,0.040000,-0.040000,,,,2.90000,0.10000,-0.10000,,,,,1.70,0.40,-0.40,8.90,0.40,-0.40,"HD 62509","HIP 37826"
"Kepler-370","c","Transit",19.02293000,0.00017700,-0.00017700,0.140000,,,,,,,,,,,,0.170,0.079,-0.079,1167.9400000,,,,0.90,0.42,-0.42,,
"Kepler-400","b","Transit",9.02438900,0.00003400,-0.00003400,0.087000,,,,,,,,,,,,0.147,0.027,-0.027,845.9700000,,,,1.15,0.21,-0.21,,
"Kepler-221","b","Transit",2.79590600,0.00000400,-0.00000400,0.037000,,,,,,,,,,,,0.153,0.015,-0.015,385.2310000,,,,0.82,0.07,-0.07,,
"Kepler-367","c","Transit",53.57863700,0.00038200,-0.00038200,0.253000,,,,,,,,,,,,0.107,0.014,-0.014,188.0270000,,,,0.69,0.04,-0.04,,
"Kepler-393","c","Transit",14.61361200,0.00023100,-0.00023100,0.124000,,,,,,,,,,,,0.119,0.028,-0.028,881.4040000,,,,1.38,0.26,-0.26,,
"Kepler-304","c","Transit",5.31594600,0.00000700,-0.00000700,0.054000,,,,,,,,,,,,0.194,0.013,-0.013,434.6840000,,,,0.69,0.04,-0.04,,
"Kepler-360","b","Transit",3.28967200,0.00001200,-0.00001200,0.044000,,,,,,,,,,,,0.147,0.070,-0.070,876.0440000,,,,1.06,0.50,-0.50,,
"Kepler-101","c","Transit",6.02980900,0.00011500,-0.00011500,0.068000,,,,,,,,,,,,0.119,0.030,-0.030,927.9810000,,,,1.67,0.41,-0.41,,
"Kepler-243","c","Transit",20.02621800,0.00016300,-0.00016300,0.142000,,,,,,,,,,,,0.178,0.087,-0.087,693.8600000,,,,0.84,0.40,-0.40,,
"Kepler-261","c","Transit",24.57085800,0.00006900,-0.00006900,0.156000,,,,,,,,,,,,0.178,0.012,-0.012,317.4990000,,,,0.79,0.05,-0.05,,
"Kepler-305","d","Transit",16.73866100,0.00014500,-0.00014500,0.121000,,,,,,,,,,,,0.242,0.037,-0.037,868.4770000,,,,0.79,0.05,-0.05,,
"Kepler-327","d","Transit",13.96945700,0.00003100,-0.00003100,0.090000,,,,,,,,,,,,0.154,0.009,-0.009,241.9870000,,,,0.49,0.02,-0.02,,
"Kepler-136","b","Transit",11.57890000,0.00003000,-0.00003000,0.106000,,,,,,,,,,,,0.183,0.034,-0.034,420.8180000,,,,1.35,0.25,-0.25,,
"Kepler-122","d","Transit",21.58747500,0.00016400,-0.00016400,0.155000,,,,,,,,,,,,0.196,0.039,-0.039,1027.4500000,,,,1.22,0.24,-0.24,,
"Kepler-157","c","Transit",13.54050000,0.00004900,-0.00004900,0.110000,,,,,,,,,,,,0.200,0.038,-0.038,773.7130000,,,,1.04,0.20,-0.20,,
"Kepler-147","c","Transit",33.41642300,0.00041600,-0.00041600,0.216000,,,,,,,,,,,,0.217,0.044,-0.044,1042.0200000,,,,1.47,0.29,-0.29,,
"Kepler-239","b","Transit",11.76305100,0.00003400,-0.00003400,0.095000,,,,,,,,,,,,0.208,0.013,-0.013,648.1090000,,,,0.76,0.04,-0.04,,
"Kepler-200","b","Transit",8.59480500,0.00003600,-0.00003600,0.080000,,,,,,,,,,,,0.190,0.037,-0.037,665.9120000,,,,0.94,0.16,-0.16,,
"Kepler-243","b","Transit",5.71544200,0.00001100,-0.00001100,0.062000,,,,,,,,,,,,0.219,0.103,-0.103,693.8600000,,,,0.84,0.40,-0.40,,
"Kepler-160","c","Transit",13.69908700,0.00003100,-0.00003100,0.109000,,,,,,,,,,,,0.322,0.158,-0.158,937.0130000,,,,0.88,0.43,-0.43,,
"Kepler-210","c","Transit",7.97251300,0.00000300,-0.00000300,0.070000,,,,,,,,,,,,0.323,0.017,-0.017,232.7500000,,,,0.65,0.03,-0.03,,
"Kepler-254","b","Transit",5.82666200,0.00001000,-0.00001000,0.064000,,,,,,,,,,,,0.345,0.165,-0.165,1389.4800000,,,,0.91,0.43,-0.43,,
"Kepler-172","c","Transit",6.38899600,0.00002000,-0.00002000,0.068000,,,,,,,,,,,,0.255,0.047,-0.047,828.5920000,,,,1.08,0.19,-0.19,,
"Kepler-299","c","Transit",6.88587500,0.00004000,-0.00004000,0.070000,,,,,,,,,,,,0.236,0.056,-0.056,1052.2400000,,,,1.03,0.21,-0.21,,
"Kepler-278","c","Transit",51.07877500,0.00089000,-0.00089000,0.294000,,,,,,,,,,,,0.320,0.038,-0.038,443.0300000,,,,2.94,0.07,-0.07,,
"Kepler-339","d","Transit",10.55834500,0.00008100,-0.00008100,0.091000,,,,,,,,,,,,0.104,0.047,-0.047,616.6370000,,,,0.80,0.36,-0.36,,
"Kepler-397","b","Transit",22.25094900,0.00018600,-0.00018600,0.144000,,,,,,,,,,,,0.219,1.902,-1.902,,,,,0.77,0.07,-0.07,,
"Kepler-399","b","Transit",14.42528100,0.00014400,-0.00014400,0.103000,,,,,,,,,,,,0.086,0.045,-0.045,740.5370000,,,,0.68,0.36,-0.36,,
"HD 219415","b","Radial Velocity",2093.30000000,32.70000000,-32.70000000,3.200000,,,0.400000,0.090000,-0.090000,,,,1.00000,,,,,,165.1840000,1.00,0.10,-0.10,2.90,0.40,-0.40,"HD 219415",
"Pr0201","b","Radial Velocity",4.42640000,0.00700000,-0.00700000,,,,0.000000,,,,,,0.54000,0.03900,-0.03900,,,,180.6400000,1.23,0.03,,1.17,0.12,,,
"WASP-24","b","Transit",2.34121270,0.00000200,-0.00000200,,,,0.000000,,,83.640,0.290,-0.290,,,,,,,322.1140000,,,,,,,,
"WASP-7","b","Transit",4.95464160,0.00000350,-0.00000350,0.061700,0.001100,-0.001100,,,,87.030,0.930,-0.930,0.96000,0.13000,-0.13000,1.330,0.093,-0.093,162.3030000,1.28,0.07,-0.07,1.43,0.09,-0.09,"HD 197286",
"eps Tau","b","Radial Velocity",594.90000000,5.30000000,-5.30000000,1.930000,0.030000,-0.030000,0.151000,0.023000,-0.023000,,,,7.60000,0.20000,-0.20000,,,,47.5285200,2.70,0.10,,13.70,0.60,,"HD 28305","HIP 20889"
